table,migration_columns,model_files,model_fillable_union,model_casts_union,missing_in_model,extra_in_model,notes
accounts,code|is_active|is_group|name|normal_balance|organization_id|parent_id|type,app\Models\Account/Account.php,code|is_active|name|organization_id|type,is_active:boolean,is_group|normal_balance|parent_id,,
audi\1_\2s,,app\Models\AuditLog.php,auditable_id|auditable_type|description|event_type|meta|user_id,meta:array,,auditable_id|auditable_type|description|event_type|meta|user_id,NO_MIGRATION_FOUND
audit_logs,auditable|auditable_id|auditable_type|description|event_type|meta|user_id,,,,auditable|auditable_id|auditable_type|description|event_type|meta|user_id,,NO_MODEL_FOUND
authorit\1_\2s,,app\Models\Governance/AuthorityPolicy.php,action|description|effect|hierarchy_id|hierarchy_type|is_locked|organization_id|role_id|subject|voucher_type,is_locked:boolean,,action|description|effect|hierarchy_id|hierarchy_type|is_locked|organization_id|role_id|subject|voucher_type,NO_MIGRATION_FOUND
authority_policies,action|description|effect|hierarchy_id|hierarchy_type|is_locked|organization_id|role_id|subject|voucher_type,,,,action|description|effect|hierarchy_id|hierarchy_type|is_locked|organization_id|role_id|subject|voucher_type,,NO_MODEL_FOUND
branches,address|city|code|contact_no|contact_person|country|email|is_active|is_fbr_active|latitude|longitude|name|organization_id|pos_auth_token|pos_id|state|zip_code,,,,address|city|code|contact_no|contact_person|country|email|is_active|is_fbr_active|latitude|longitude|name|organization_id|pos_auth_token|pos_id|state|zip_code,,NO_MODEL_FOUND
branchs,,app\Models\Core/Branch.php,address|city|code|contact_no|contact_person|country|email|is_active|is_fbr_active|latitude|longitude|name|organization_id|pos_auth_token|pos_id|state|zip_code,is_fbr_active:boolean;is_active:boolean,,address|city|code|contact_no|contact_person|country|email|is_active|is_fbr_active|latitude|longitude|name|organization_id|pos_auth_token|pos_id|state|zip_code,NO_MIGRATION_FOUND
brand_models,brand_id|is_active|name|organization_id|series|slug,app\Models\Inventory/BrandModel.php,brand_id|is_active|name|organization_id|series|slug,is_active:boolean,,,
brands,name|organization_id|slug,app\Models\Inventory/Brand.php,is_active|name|organization_id|slug,is_active:boolean,,is_active,
cache,expiration|key|value,,,,expiration|key|value,,NO_MODEL_FOUND
cache_locks,expiration|key|owner,,,,expiration|key|owner,,NO_MODEL_FOUND
cas\1_\2s,,app\Models\Voucher/CashRegister.php,name|organization_id|outlet_id|status,status:string,,name|organization_id|outlet_id|status,NO_MIGRATION_FOUND
cash_registers,is_locked|name|organization_id|registerable|registerable_id|registerable_type|status,,,,is_locked|name|organization_id|registerable|registerable_id|registerable_type|status,,NO_MODEL_FOUND
categories,is_active|name|organization_id|parent_id|slug,,,,is_active|name|organization_id|parent_id|slug,,NO_MODEL_FOUND
categorys,,app\Models\Inventory/Category.php,is_active|name|organization_id|parent_id|slug,is_active:boolean,,is_active|name|organization_id|parent_id|slug,NO_MIGRATION_FOUND
coupo\1_\2s,,app\Models\Inventory/CouponScope.php;app\Models\Inventory/CouponTarget.php,coupon_id|scopeable_id|scopeable_type|targetable_id|targetable_type,,,coupon_id|scopeable_id|scopeable_type|targetable_id|targetable_type,NO_MIGRATION_FOUND
coupon_scopes,coupon_id|scopeable|scopeable_id|scopeable_type,,,,coupon_id|scopeable|scopeable_id|scopeable_type,,NO_MODEL_FOUND
coupon_targets,coupon_id|targetable|targetable_id|targetable_type,,,,coupon_id|targetable|targetable_id|targetable_type,,NO_MODEL_FOUND
coupons,code|is_active|min_order_amount|organization_id|type|usage_limit|used_count|valid_from|valid_to|value,app\Models\Inventory/Coupon.php,code|is_active|min_order_amount|organization_id|type|usage_limit|used_count|valid_from|valid_to|value,,,,
credi\1_\2s,,app\Models\Voucher/CreditNote.php,approved_at|approved_by|created_by|customer_id|date|document_number|grand_total|invoice_id|organization_id|reviewed_at|reviewed_by|updated_by,date:date;grand_total:decimal:4,,approved_at|approved_by|created_by|customer_id|date|document_number|grand_total|invoice_id|organization_id|reviewed_at|reviewed_by|updated_by,NO_MIGRATION_FOUND
credit_notes,approved_at|approved_by|created_by|customer_id|date|document_number|financial_year_id|grand_total|invoice_id|journal_id|organization_id|reviewed_at|reviewed_by|updated_by|voucher_type_id,,,,approved_at|approved_by|created_by|customer_id|date|document_number|financial_year_id|grand_total|invoice_id|journal_id|organization_id|reviewed_at|reviewed_by|updated_by|voucher_type_id,,NO_MODEL_FOUND
custome\1_\2s,,app\Models\Inventory/CustomerCoupon.php,coupon_id|customer_id|is_used|used_at,is_used:boolean;used_at:datetime,,coupon_id|customer_id|is_used|used_at,NO_MIGRATION_FOUND
customer_coupons,coupon_id|customer_id|is_used|used_at,,,,coupon_id|customer_id|is_used|used_at,,NO_MODEL_FOUND
customers,address|cnic|contact_no|contact_person|credit_limit|current_balance|email|incorporation_no|is_active|latitude|longitude|name|ntn|organization_id|partner_category_id|payment_terms_days|strn,app\Models\Partner/Customer.php,address|cnic|contact_no|contact_person|credit_limit|current_balance|email|incorporation_no|is_active|latitude|longitude|name|ntn|organization_id|partner_category_id|payment_terms_days|strn,credit_limit:decimal:4;current_balance:decimal:4;is_active:boolean,,,
debi\1_\2s,,app\Models\Voucher/DebitNote.php,approved_at|approved_by|created_by|date|document_number|grand_total|organization_id|purchase_bill_id|reviewed_at|reviewed_by|supplier_id|updated_by,date:date;grand_total:decimal:4,,approved_at|approved_by|created_by|date|document_number|grand_total|organization_id|purchase_bill_id|reviewed_at|reviewed_by|supplier_id|updated_by,NO_MIGRATION_FOUND
